id,title,series,author,genre,date_published,publisher,num_of_page,lang,review_count,rate,award
1756,Super Sad True Love Story,,Gary Shteyngart,"Fiction,Science Fiction,Dystopia,Science Fiction,Novels,Romance,Contemporary,Humor,Literature,American,Adult Fiction",July 27th 2010,"Random House Publishing Group

            ,",331,English,"4,737",3.45,"Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2011),Goodreads Choice Award Nominee for Fiction (2010)"
1757,The Sugar Queen,,Sarah Addison Allen,"Fiction,Magical Realism,Romance,Womens Fiction,Chick Lit,Fantasy,Contemporary,Fantasy,Magic,Adult,Adult Fiction",May 20th 2008,Bantam,276,English,"5,724",3.98,Romantic Times Reviewers' Choice Award (RT Award) for Women's Fiction (2008)
1758,A Fraction of the Whole,,Steve Toltz,"Fiction,Cultural,Australia,Novels,Contemporary,Humor,Literature,Philosophy,Literary Fiction,Family",February 12th 2008,Spiegel & Grau,530,English,"2,742",4.14,"Booker Prize Nominee (2008),Guardian First Book Award Nominee (2008),New South Wales Premier's Literary Award for People's Choice Award (2009),Bollinger Everyman Wodehouse Prize Nominee for comic fiction (2009),Australian Book Industry Award (ABIA) for Literary  Fiction and Nominee for Newcomer (2008)"
1759,Secret Daughter,,Shilpi Somaya Gowda,"Fiction,Cultural,India,Contemporary,Parenting,Adoption,Book Club,Cultural,Canada,Adult Fiction,Cultural,Adult",March 15th 2010,"William Morrow

            ,",339,English,"5,606",3.99,"Exclusive Books Boeke Prize Nominee (2011),Goodreads Choice Award Nominee for Fiction and for Debut Author (2010),International Dublin Literary Award Nominee (2011)"
1760,Those Who Leave and Those Who Stay (The Neapolitan Novels #3),"
        (L'amica geniale #3)
","Elena Ferrante,Ann Goldstein","Fiction,Cultural,Italy,Historical,Historical Fiction,European Literature,Italian Literature,Novels,Literary Fiction,Audiobook,Contemporary,Feminism",September 2nd 2014,"Europa Editions

            ,",418,English,"6,360",4.32,"BTBA Best Translated Book Award Nominee for Fiction Shortlist (2015),Andrew Carnegie Medal Nominee for Fiction (2015)"
1761,Salem Falls,,Jodi Picoult,"Fiction,Contemporary,Womens Fiction,Chick Lit,Romance,Mystery,Adult Fiction,Adult,Drama,Realistic Fiction",August 1st 2002,"Washington Square Press

            ,",434,English,"3,647",3.82,
1762,The Story of the Lost Child (The Neapolitan Novels #4),"
        (L'amica geniale #4)
","Elena Ferrante,Ann Goldstein","Fiction,Cultural,Italy,Historical,Historical Fiction,European Literature,Italian Literature,Novels,Contemporary,Literary Fiction,Audiobook,Womens",September 1st 2015,"Europa Editions

            ,",473,English,"7,235",4.41,"BTBA Best Translated Book Award Nominee for Fiction Shortlist (2016),Premio Strega Nominee (2015),Australian Book Industry Award (ABIA) Nominee for International Book (2016),International Booker Prize Nominee (2016)"
1763,"Skinny Dip (Skink, #5; Mick Stranahan #2)","
        (Skink #5)
",Carl Hiaasen,"Fiction,Mystery,Humor,Mystery,Crime,Humor,Comedy,Thriller,Mystery Thriller,Adult Fiction,Audiobook,Adult",May 1st 2006,"Grand Central Publishing

            ,",496,English,"3,206",3.8,
1764,The Language of Flowers,,Vanessa Diffenbaugh,"Fiction,Romance,Contemporary,Book Club,Adult Fiction,Adult,Womens Fiction,Chick Lit,Audiobook,Realistic Fiction",August 23rd 2011,Ballantine Books,323,English,"20,428",4.08,Goodreads Choice Award Nominee for Fiction (2011)
1765,Monsters of Men (Chaos Walking #3),"
        (Chaos Walking #3)
",Patrick Ness,"Young Adult,Science Fiction,Science Fiction,Dystopia,Fantasy,Fiction,Adventure,War,Romance,Young Adult,Teen",May 3rd 2010,Walker Books,603,English,"7,264",4.2,"Arthur C. Clarke Award Nominee (2011),Teen Buckeye Book Award Nominee (2012),Goodreads Choice Award Nominee for Young Adult Fantasy (2010),Carnegie Medal (2011)"
1766,Just One Look,,Harlan Coben,"Mystery,Thriller,Fiction,Suspense,Thriller,Mystery Thriller,Mystery,Crime,Adult,Audiobook,Contemporary",April 26th 2005,"Dutton

            ,",390,English,"2,144",4.01,
1767,"Wool (Wool, #1)","
        (Wool  #1)
",Hugh Howey,"Science Fiction,Fiction,Science Fiction,Dystopia,Apocalyptic,Post Apocalyptic,Fantasy,Short Stories,Science Fiction Fantasy,Science Fiction,Apocalyptic,Young Adult",July 30th 2011,"Broad Reach

            ,",58,English,"4,399",4.11,
1768,Along for the Ride,,Sarah Dessen,"Young Adult,Romance,Contemporary,Fiction,Womens Fiction,Chick Lit,Realistic Fiction,Young Adult,Teen,Young Adult,Young Adult Contemporary,Young Adult,Young Adult Romance",June 16th 2009,Viking Books for Young Readers,383,English,"7,172",4.05,"Milwaukee County Teen Book Award Nominee (2010),Teen Read Award Nominee for Best Read (2010),Goodreads Choice Award for Young Adult Fiction (2009),Margaret A. Edwards Award (2017)"
1769,The Lost Books of the Odyssey,,Zachary Mason,"Fiction,Fantasy,Mythology,Fantasy,Historical,Historical Fiction,Short Stories,Literature,Classics,Retellings,Literary Fiction",March 1st 2008,"Starcherone Books

            ,",256,English,571,3.93,"New York Public Library Young Lions Fiction Award Nominee (2009),California Book Award for First Fiction (Gold) (2010),Starcherone Prize for Innovative Fiction (2007)"
1770,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",,Malcolm Gladwell,"Nonfiction,Psychology,Business,Audiobook,Self Help,Sociology,Science,History,Leadership",October 1st 2013,"Little, Brown and Company",305,English,"10,303",3.95,"Audie Award for Nonfiction (2014),Goodreads Choice Award Nominee for Nonfiction (2013)"
1771,"Something Blue (Darcy & Rachel, #2)","
        (Darcy & Rachel #2)
",Emily Giffin,"Womens Fiction,Chick Lit,Fiction,Romance,Contemporary,Adult,Adult Fiction,Romance,Contemporary Romance,Audiobook,Relationships",March 21st 2006,"St. Martin's Griffin

            ,",338,English,"7,290",3.93,
1772,"Origin (Robert Langdon, #5)","
        (Robert Langdon #5)
",Dan Brown,"Fiction,Thriller,Mystery,Thriller,Mystery Thriller,Audiobook,Suspense,Adventure,Novels,Mystery,Crime",October 3rd 2017,Doubleday,456,English,"25,581",3.87,Goodreads Choice Award Nominee for Mystery & Thriller (2017)
1773,Accelerando,,Charles Stross,"Science Fiction,Fiction,Science Fiction,Cyberpunk,Singularity,Speculative Fiction,Space,Space Opera,Science Fiction Fantasy,Unfinished,Science Fiction,Hard Science Fiction",July 1st 2006,"Ace Books

            ,",415,English,"1,216",3.89,"Hugo Award Nominee for Best Novel (2006),Locus Award for Best Science Fiction Novel (2006),Arthur C. Clarke Award Nominee (2006),British Science Fiction Association Award Nominee (2005),Seiun Award 星雲賞 Nominee for Best Translated Long Form (2010)"
1774,American Rust,,Philipp Meyer,"Fiction,Mystery,Mystery,Crime,Contemporary,Literary Fiction,Novels,Literature,American,Literature,The United States Of America",February 24th 2009,"Spiegel & Grau

            ,",368,English,"1,345",3.72,"New York Public Library Young Lions Fiction Award Nominee (2010),Los Angeles Times Book Prize for Art Seidenbaum Award for First Fiction (2009)"
1775,Colombiano,,Rusty Young,"Fiction,Mystery,Crime,Historical,Historical Fiction,War,Thriller,Young Adult,Coming Of Age,Mystery,Contemporary,Politics",August 1st 2017,Bantam,689,English,406,4.32,
1776,The Imperfectionists,,Tom Rachman,"Fiction,Short Stories,Cultural,Italy,Contemporary,Literary Fiction,Writing,Journalism,Book Club,Novels,Adult Fiction",April 6th 2010,The Dial Press,272,English,"5,891",3.55,"Scotiabank Giller Prize Nominee (2010),Canadian Authors Association Award for Fiction (2011),Goodreads Choice Award Nominee for Fiction and for Debut Author (2010)"
1777,The Stolen Child,,Keith Donohue,"Fantasy,Fiction,Fantasy,Fairy Tales,Fantasy,Paranormal,Adult Fiction,Science Fiction Fantasy,Magical Realism,Literary Fiction,Paranormal,Fairies",May 9th 2006,Nan A. Talese,327,English,"1,428",3.72,Mythopoeic Fantasy Award Nominee for Adult Literature (2007)
1778,"The Tin Roof Blowdown (Dave Robicheaux, #16)","
        (Dave Robicheaux #16)
",James Lee Burke,"Mystery,Fiction,Mystery,Crime,Thriller,Thriller,Mystery Thriller,Audiobook,Mystery,Detective,Suspense,American,Southern",September 17th 2007,"Simon & Schuster

            ,",373,English,901,4.17,Anthony Award Nominee for Best Novel (2008)
1779,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)","
        (Magnus Chase and the Gods of Asgard #1)
",Rick Riordan,"Fantasy,Fantasy,Mythology,Young Adult,Childrens,Middle Grade,Fiction,Adventure,Childrens,Fantasy,Urban Fantasy,Fantasy,Magic",October 6th 2015,Disney-Hyperion Books,499,English,"13,394",4.21,Goodreads Choice Award for Middle Grade & Children's (2015)
1780,After Dark,,"Haruki Murakami,Jay Rubin","Fiction,Cultural,Japan,Magical Realism,Asian Literature,Japanese Literature,Contemporary,Novels,Literature,Fantasy,Cultural,Asia",May 8th 2007,"Knopf

            ,",191,English,"8,809",3.72,International Dublin Literary Award Nominee (2009)
1781,"The Outlaw Demon Wails (The Hollows, #6)","
        (The Hollows #6)
",Kim Harrison,"Fantasy,Urban Fantasy,Fantasy,Fantasy,Paranormal,Paranormal,Vampires,Paranormal,Witches,Fantasy,Magic,Paranormal,Demons,Fiction,Fantasy,Supernatural",February 26th 2008,Eos,455,English,"1,286",4.35,
1782,"Dreamfever (Fever, #4)","
        (Fever #4)
",Karen Marie Moning,"Fantasy,Urban Fantasy,Fantasy,Fantasy,Paranormal,Romance,Fairies,Fae,Romance,Paranormal Romance,Adult,Fiction,Fantasy,Magic",August 18th 2009,Delacorte Press,386,English,"4,985",4.37,
1783,"Hunting Ground (Alpha & Omega, #2)","
        (Alpha & Omega #2)
",Patricia Briggs,"Fantasy,Urban Fantasy,Fantasy,Fantasy,Paranormal,Romance,Romance,Paranormal Romance,Shapeshifters,Werewolves,Paranormal,Vampires,Paranormal,Shapeshifters,Fiction",August 25th 2009,Ace,286,English,"2,347",4.25,Endeavour Award Nominee (2010)
1784,Longbourn,,Jo Baker,"Historical,Historical Fiction,Fiction,Historical,Romance,Audiobook,Adult,European Literature,British Literature,Retellings,Adult Fiction",October 8th 2013,Knopf,352,English,"7,744",3.64,
1785,Hegemony or Survival: America's Quest for Global Dominance,"
        (American Empire Project)
",Noam Chomsky,"Politics,Nonfiction,History,Philosophy,Sociology,Economics,Politics,Political Science,War,Culture,Society",September 1st 2004,"Holt Paperbacks

            ,",320,English,444,3.97,
1786,Forbidden,,Tabitha Suzuma,"Young Adult,Romance,Contemporary,Fiction,Dark,Realistic Fiction,New Adult,Drama,Romance,Contemporary Romance",May 27th 2010,Definitions,418,English,"10,417",4,"Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2012),Branford Boase Award Nominee (2007),Young Minds Book Award (0),Premio Speciale Cariparma for European Literature (2011),UKLA Book Award Nominee (2009)"
1787,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)","
        (Flavia de Luce  #1)
",Alan Bradley,"Mystery,Fiction,Historical,Historical Fiction,Young Adult,Audiobook,Thriller,Mystery Thriller,Mystery,Crime,Historical,Adult",April 28th 2009,Delacorte Press,374,English,"16,937",3.82,"Barry Award for Best First Novel (2010),Macavity Award for Best First Mystery Novel (2010),Anthony Award Nominee for Best First Novel (2010),Dilys Award (2010),Arthur Ellis Award for Best First Novel (2010)"
1788,Slave: My True Story,"
        (Slave/Freedom #1)
","Mende Nazer,Damien Lewis","Nonfiction,Biography,Cultural,Africa,Autobiography,Memoir,Biography,Autobiography,Biography Memoir,History,Northern Africa,Sudan,Adventure,Survival",April 27th 2005,"PublicAffairs

            ,",368,English,605,4.16,
1789,"Warbreaker (Warbreaker, #1)","
        (Warbreaker #1)
",Brandon Sanderson,"Fantasy,Fiction,Fantasy,High Fantasy,Fantasy,Epic Fantasy,Adult,Audiobook,Fantasy,Magic,Science Fiction Fantasy,Romance",2009,Self-published,688,English,"10,725",4.27,David Gemmell Legend Award Nominee for Best Fantasy Novel (2010)
1790,Alice's Tulips,,Sandra Dallas,"Historical,Historical Fiction,Fiction,Military History,Civil War,Mystery,Historical,Adult Fiction,Womens Fiction,Chick Lit,Crafts,Quilting,War",September 18th 2001,"St. Martin's Griffin

            ,",256,English,434,3.82,WILLA Literary Award Nominee for Historical Fiction (Finalist) (2001)
1791,"""A Problem from Hell"": America and the Age of Genocide",,Samantha Power,"Nonfiction,History,Politics,War,Cultural,Africa,North American Hi...,American History,Political Science,International Relations,Politics,Political Science,History,World History",May 6th 2003,"Basic Books

            ,",620,English,594,4.24,"Pulitzer Prize for General Nonfiction (2003),Anisfield-Wolf Book Award (2003),J. Anthony Lukas Book Prize (2003),Arthur Ross Book Award for Gold Medal (2003),National Book Critics Circle Award for General Nonfiction (2002)"
1792,"The Iron Daughter (The Iron Fey, #2)","
        (The Iron Fey #2)
",Julie Kagawa,"Fantasy,Young Adult,Romance,Fantasy,Paranormal,Fairies,Fae,Paranormal,Fairies,Fantasy,Magic,Fantasy,Urban Fantasy,Adventure",July 20th 2010,Harlequin Teen,359,English,"5,806",4.05,
1793,The Master,,Colm Tóibín,"Fiction,Historical,Historical Fiction,European Literature,Irish Literature,Cultural,Ireland,Historical,Literary Fiction,Novels,Literature,Contemporary",May 3rd 2005,"Scribner

            ,",339,English,"1,089",3.83,"Booker Prize Nominee (2004),Stonewall Book Award for Literature (2005),Los Angeles Times Book Prize for Fiction (2004),Prix du Meilleur Livre Étranger for Roman (2005),International Dublin Literary Award (2006)"
1794,"Twelve Sharp (Stephanie Plum, #12)","
        (Stephanie Plum #12)
",Janet Evanovich,"Mystery,Fiction,Humor,Womens Fiction,Chick Lit,Romance,Mystery,Crime,Humor,Comedy,Thriller,Mystery Thriller,Contemporary",June 20th 2006,St. Martin's Press,310,English,"2,388",4.14,
1795,The Autograph Man,,Zadie Smith,"Fiction,Contemporary,Novels,Literary Fiction,Literature,European Literature,British Literature,Literature,21st Century,Adult,Unfinished",June 17th 2003,"Vintage

            ,",347,English,858,3.16,"Booker Prize Nominee for Longlist (2002),Orange Prize Nominee for Fiction Shortlist (2003),Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2003),Jewish Quarterly-Wingate Prize for Fiction (2003)"
1796,"The Surgeon (Rizzoli & Isles, #1)","
        (Rizzoli & Isles #1)
",Tess Gerritsen,"Mystery,Thriller,Mystery,Crime,Fiction,Suspense,Thriller,Mystery Thriller,Drama,Mystery,Detective,Adult",2005,"Bantam Books

            ,",416,English,"4,666",4.06,RITA Award by Romance Writers of America for Best Romantic Suspense (2002)
1797,"Thief of Time (Discworld, #26; Death, #5)","
        (Discworld #26)
",Terry Pratchett,"Fantasy,Fiction,Humor,Humor,Comedy,Science Fiction Fantasy,Young Adult,Childrens,Audiobook,Adventure",2008,"HarperTorch

            ,",378,English,"1,739",4.21,"Locus Award Nominee (2002),Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2002)"
1798,Any Human Heart,,William  Boyd,"Fiction,Historical,Historical Fiction,Historical,Literary Fiction,European Literature,British Literature,Novels,Classics,Contemporary,Literature",January 6th 2004,"Vintage

            ,",480,English,"1,631",4.28,"Booker Prize Nominee for Longlist (2002),Prix Jean-Monnet de littérature européenne du département de Charente (2003),International Dublin Literary Award Nominee (2004),LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)"
1799,"Trickster's Choice (Daughter of the Lioness, #1)","
        (Daughter of the Lioness #1)
",Tamora Pierce,"Fantasy,Young Adult,Fiction,Young Adult,Young Adult Fantasy,Fantasy,Magic,Adventure,Fantasy,High Fantasy,Romance,Childrens",September 17th 2004,"Scholastic Press

            ,",453,English,"1,528",4.19,
1800,"The Hard Way (Jack Reacher, #10)","
        (Jack Reacher #10)
",Lee Child,"Thriller,Fiction,Mystery,Mystery,Crime,Suspense,Action,Thriller,Mystery Thriller,Audiobook,Drama",May 16th 2006,Delacorte Press,384,English,"2,912",4.16,
1801,"Still Life (Chief Inspector Armand Gamache, #1)","
        (Chief Inspector Armand Gamache #1)
",Louise Penny,"Mystery,Fiction,Mystery,Crime,Thriller,Mystery Thriller,Cultural,Canada,Audiobook,Adult,Thriller,Adult Fiction",May 1st 2007,"St. Martin's Paperbacks

            ,",293,English,"15,108",3.89,"Barry Award for Best First Novel (2007),Anthony Award for Best First Novel (2007),Dilys Award (2007),Arthur Ellis Award for Best First Novel (2006),CWA New Blood Dagger (2006)"
1802,The Blue Nowhere,,Jeffery Deaver,"Thriller,Fiction,Mystery,Mystery,Crime,Suspense,Thriller,Mystery Thriller,Adult,Mystery,Detective,Science Fiction",May 9th 2001,"Coronet Books (Hachette)

            ,",430,English,662,3.96,
1803,"The Prisoner of Heaven (The Cemetery of Forgotten Books, #3)","
        (El cementerio de los libros olvidados #3)
","Carlos Ruiz Zafón,Lucia Graves","Fiction,Historical,Historical Fiction,Mystery,Fantasy,Cultural,Spain,Writing,Books About Books,Magical Realism,Historical,European Literature,Spanish Literature",July 10th 2012,"Harper

            ,",278,English,"6,836",4.08,Goodreads Choice Award Nominee for Historical Fiction (2012)
1804,"Fool's Errand (Tawny Man, #1)","
        (The Tawny Man #1)
",Robin Hobb,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,High Fantasy,Adventure,Science Fiction Fantasy,Young Adult,Childrens,Fantasy,Magic",Oct-02,"Voyager

            ,",661,English,"2,321",4.29,
1805,Shalimar the Clown,,Salman Rushdie,"Fiction,Cultural,India,Magical Realism,Literature,Historical,Historical Fiction,Contemporary,Literary Fiction,Asian Literature,Indian Literature,Novels",October 10th 2006,"Random House Trade

            ,",398,English,944,3.89,"Booker Prize Nominee for Longlist (2005),Crossword Book Award for Fiction (2005),International Dublin Literary Award Nominee for Shortlist (2007)"
1806,North of Beautiful,,Justina Chen,"Young Adult,Romance,Contemporary,Realistic Fiction,Fiction,Young Adult,Teen,Womens Fiction,Chick Lit,Young Adult,High School,Young Adult,Coming Of Age",February 1st 2009,"Little, Brown Books for Young Readers",373,English,"2,204",3.92,"Florida Teens Read Nominee (2010),Amelia Elizabeth Walden Award Nominee (2010),Lincoln Award Nominee (2013),James Cook Book Award Nominee (2011),CYBILS Award Nominee for Young Adult Fiction (2009)"
1807,A Man Without a Country,,"Kurt Vonnegut Jr.,Daniel Simon","Nonfiction,Writing,Essays,Autobiography,Memoir,Humor,Classics,Biography,Politics,Literature,Literature,American",January 16th 2007,"Random House Trade Paperbacks

            ,",160,English,"2,730",4.05,
1808,Ain't No Grave: The Life and Legacy of Brother Claude Ely,,Macel Ely II,"Music,History,Biography,Art,Photography,Nonfiction",March 31st 2011,"Dust to Digital

            ,",345,English,8,3.51,
1809,The Choice,,Nicholas Sparks,"Romance,Fiction,Womens Fiction,Chick Lit,Contemporary,Adult,Adult Fiction,Romance,Contemporary Romance,Drama,Love",September 30th 2007,Grand Central Publishing,272,English,"7,899",4,
1810,Before You Know Kindness,,Chris Bohjalian,"Fiction,Contemporary,Audiobook,Family,Adult,Drama,Adult Fiction,Book Club,Novels",Aug-05,"Vintage

            ,",429,English,"1,160",3.48,
1811,The Wordy Shipmates,,Sarah Vowell,"Nonfiction,History,Humor,North American Hi...,American History,Audiobook,Writing,Essays,Historical,Politics,Literature,American",October 7th 2008,Riverhead Books,272,English,"2,720",3.66,Indies Choice Book Award for Best Conversation Starter (Nonfiction) (2009)
1812,Twenties Girl,,Sophie Kinsella,"Womens Fiction,Chick Lit,Romance,Fiction,Contemporary,Humor,Adult,Fantasy,Paranormal,Audiobook,Romance,Contemporary Romance",July 21st 2009,The Dial Press,435,English,"7,302",3.84,"Goodreads Choice Award Nominee for Chick Lit (2009),LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)"
1813,"Shadow of Night (All Souls Trilogy, #2)","
        (All Souls  #2)
",Deborah Harkness,"Fantasy,Fiction,Romance,Historical,Historical Fiction,Fantasy,Paranormal,Paranormal,Vampires,Paranormal,Witches,Science Fiction,Time Travel,Fantasy,Magic",July 10th 2012,Viking Adult,584,English,"17,180",4.04,Goodreads Choice Award for Paranormal Fantasy and Nominee for Goodreads Author (2012)
1814,"One Shot (Jack Reacher, #9)","
        (Jack Reacher #9)
",Lee Child,"Thriller,Fiction,Mystery,Mystery,Crime,Suspense,Action,Thriller,Mystery Thriller,Drama,Audiobook",March 28th 2006,"Dell Publishing Company

            ,",466,English,"3,554",4.21,Macavity Award Nominee for Best Mystery Novel (2006)
1815,"The Serpent's Tale (Mistress of the Art of Death, #2)","
        (Mistress of the Art of Death #2)
",Ariana Franklin,"Historical,Historical Fiction,Mystery,Fiction,Historical,Mystery,Historical Mystery,Historical,Medieval,European Literature,British Literature,Mystery,Crime,Thriller,Mystery Thriller",February 1st 2008,"Putnam Adult

            ,",371,English,"1,140",3.96,
1816,Amazonia,,James Rollins,"Thriller,Adventure,Fiction,Mystery,Action,Science Fiction,Suspense,Thriller,Mystery Thriller,Novels",March 1st 2002,Avon Books,510,English,"1,275",4.13,
1817,Lunar Park,,Bret Easton Ellis,"Fiction,Thriller,Horror,Mystery,Suspense,Contemporary,Drama,Novels,Dark",August 29th 2006,"Vintage

            ,",404,English,"1,066",3.67,World Fantasy Award Nominee for Best Novel (2006)
1818,The Finkler Question,,Howard Jacobson,"Fiction,Literary Fiction,Literature,Jewish,Contemporary,Literature,European Literature,British Literature,Novels,Unfinished,Humor",August 2nd 2010,"Bloomsbury

            ,",307,English,"2,145",2.8,"Booker Prize (2010),Jewish Quarterly-Wingate Prize Nominee (2011),International Dublin Literary Award Nominee (2012)"
1819,Forever,,Pete Hamill,"Fiction,Historical,Historical Fiction,Fantasy,New York,Historical,Magical Realism,Science Fiction,Time Travel,Cultural,Ireland,Adult Fiction",November 3rd 2003,"Back Bay Books

            ,",613,English,"1,591",3.95,
1820,Defending Jacob,,William Landay,"Fiction,Mystery,Thriller,Mystery,Crime,Suspense,Thriller,Mystery Thriller,Audiobook,Book Club,Drama",January 31st 2012,Delacorte Press,421,English,"22,040",3.98,"Barry Award Nominee for Best Novel (2013),Hammett Prize Nominee (2012),Strand Critics Award  for Best Novel (2012),Goodreads Choice Award Nominee for Mystery & Thriller and for Goodreads Author (2012)"
1821,"The Power of Six (Lorien Legacies, #2)","
        (Lorien Legacies #2)
",Pittacus Lore,"Young Adult,Fantasy,Science Fiction,Fiction,Science Fiction,Aliens,Adventure,Fantasy,Paranormal,Romance,Action",August 23rd 2011,HarperCollins,406,English,"6,537",4.14,
1822,Together: AI and Human. On The Same Side.,,Zoltan Andrejkovics,"Artificial Intelligence,Futurism,Pop Culture,Geek,Science,Science,Technology,Nonfiction,Science Fiction,Robots",September 27th 2019,Amazon Digital Services LLC,79,English,8,4.18,
1823,Freaks I've Met,,Donald Jans,"Humor,Humor,Comedy,Literature,American,Fiction,Contemporary,Young Adult,Coming Of Age,Realistic Fiction,Academic,College,Classics,Cult Classics",August 15th 2015,"Sheabeau Publishing

            ,",208,English,309,3.92,Foreword INDIES Book of the Year Award Nominee for Humor  (2015)
1824,Intermix Nation,,M.P. Attardo,"Science Fiction,Dystopia,Romance,Fantasy,New Adult,Young Adult,Science Fiction",March 5th 2013,NaN,331,English,40,4.15,
1825,The Summer that Melted Everything,,Tiffany   McDaniel,"Fiction,Magical Realism,Contemporary,Literary Fiction,Fantasy,Adult,Historical,Historical Fiction,Adult Fiction,Audiobook",July 26th 2016,St. Martin's Press,310,English,"1,736",3.97,"Ohioana Book Award for Reader’s Choice (2017),Guardian's Not the Booker Prize (2016),Goodreads Choice Award Nominee for Fiction & for Debut Goodreads Author (2016)"
1826,"Warm Bodies (Warm Bodies, #1)","
        (Warm Bodies #1)
",Isaac Marion,"Romance,Science Fiction,Fiction,Horror,Science Fiction,Apocalyptic,Young Adult,Adult Fiction,Fantasy,Science Fiction,Dystopia",October 28th 2010,Random House Vintage,240,English,"10,784",3.91,
1827,First Light (Globiuz #1),"
        (Globiuz #1)
",R.L.  Douglas,,October 31st 2018,Createspace Independent Publishing Platform,314,English,1,4,
1828,Regular People of The Weak: A Rebel's Experience With The Spiritual Chief of Poets,,Shareef Mabrouk,,March 29th 2014,Createspace Independent Publishing Platform,196,,0,4.8,
1829,The Gates to Love and War,,Janie Pendleton,,April 19th 2008,Booksurge Publishing,210,English,11,4.59,
1830,I am an Island,,Jonathan Culver,Fiction,Mar-11,"Lulu

            ,",238,,2,3.81,
1831,A Spy at Home,,Joseph Rinaldo,,January 11th 2010,NaN,296,English,24,3.71,
1832,"Clearly's Corruption (Witch In The Woods, #2)","
        (Witch in the Woods #2)
",Taylor Ann Bunker,"Young Adult,Fantasy,Paranormal,Fantasy",June 13th 2014,"CreateSpace

            ,",nan,English,16,4.44,
1833,"Firefly Lane (Firefly Lane, #1)","
        (Firefly Lane #1)
",Kristin Hannah,"Fiction,Womens Fiction,Chick Lit,Contemporary,Romance,Adult,Adult Fiction,Audiobook,Historical,Historical Fiction,Drama",February 5th 2008,St. Martin's Press,479,English,"22,360",4.12,Romantic Times Reviewers' Choice Award (RT Award) Nominee for Women's Fiction (2008)
1834,"Twisted (Twisted, #1)","
        (Twisted #1)
",Lola Smirnova,"Dark,Thriller,Suspense,Fiction,Adult,Realistic Fiction,New Adult,Adult Fiction,Erotica,Sex Work,Prostitution",January 21st 2014,Createspace Independent Publishing Platform,314,English,86,3.81,"London Book Festival Nominee for General Fiction (Honorable Mention) (2014),Drunken Druid Award for Book of the Year (3rd Place) (2014)"
1835,"Witch Song (Witch Song, #1)","
        (Witch Song #1)
",Amber Argyle,"Fantasy,Young Adult,Paranormal,Witches,Fantasy,Paranormal,Fantasy,Magic,Romance,Fiction,Fantasy,Supernatural,Adventure",September 1st 2011,"Starling Publishing

            ,",305,English,699,3.68,
1836,Palette of Love,,Ashok  Kallarakkal,,December 1st 2013,Leadstart Publishing Pvt Ltd,146,English,9,3.95,
1837,A Monster Calls,,"Patrick Ness,Jim Kay,Siobhan Dowd","Fantasy,Young Adult,Fiction,Horror,Childrens,Middle Grade,Contemporary,Magical Realism,Childrens,Fantasy,Paranormal",September 27th 2011,"Walker Books

            ,",226,English,"36,692",4.31,"Bram Stoker Award Nominee for Best Young Adult Novel (2011),Kate Greenaway Medal (2012),Galaxy British Book Awards for Children's Book of the Year (2011),Grand Prix de l'Imaginaire for Jeunesse (2013),Los Angeles Times Book Prize Nominee for Young Adult Literature (2011)"
1838,A List of Cages,,Robin Roe,"Contemporary,Young Adult,Fiction,Health,Mental Health,Realistic Fiction,Young Adult,Young Adult Contemporary,Mental Health,Mental Illness,Sociology,Abuse,Young Adult,High School",January 10th 2017,Disney-Hyperion,310,English,"4,378",4.27,"South Carolina Book Award Nominee for Young Adult (2020),Lincoln Award Nominee (2019),Goodreads Choice Award Nominee for Young Adult Fiction (2017)"
1839,The Sea of Tranquility,,Katja Millay,"Young Adult,Romance,Contemporary,New Adult,Fiction,Romance,Contemporary Romance,Sociology,Abuse,Realistic Fiction,Young Adult,High School",November 13th 2012,"Atria Books

            ,",449,English,"9,903",4.29,"ALA Alex Award (2014),Goodreads Choice Award Nominee for Young Adult Fiction (2012)"
1840,"Love Walked In (Love Walked In, #1)","
        (Love Walked In #1)
",Marisa de los Santos,"Fiction,Womens Fiction,Chick Lit,Romance,Contemporary,Adult Fiction,Adult,Book Club,Novels,Womens Fiction",December 1st 2006,"Plume Books

            ,",307,English,"4,746",3.72,
1841,Gone for Good,,Harlan Coben,"Mystery,Thriller,Fiction,Suspense,Mystery,Crime,Thriller,Mystery Thriller,Novels,Drama,Adult",March 4th 2003,"Dell Publishing Company

            ,",432,English,"2,739",4.1,
1842,Second Glance,,Jodi Picoult,"Fiction,Mystery,Contemporary,Fantasy,Paranormal,Womens Fiction,Chick Lit,Adult Fiction,Romance,Drama,Paranormal,Ghosts",March 2nd 2004,"Washington Square Press

            ,",448,English,"2,860",3.8,
1843,Pregnancy and Men,,Pratik Patil,Parenting,April 7th 2015,Createspace Independent Publishing Platform,108,English,12,3.85,
